                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.0495,                0.60804,                 1.0251,                0.94759,                0.88776,                0.95256,                0.70297,                 0.9256,                0.53353,                0.99074,              0.0093961,              0.0093961,              0.0093961
                     64,                 1.0388,                0.62544,                 1.0257,                0.90105,                0.89826,                0.94349,                0.69844,                0.95408,                0.55279,                 1.0129,              0.0093862,              0.0093862,              0.0093862
                     65,                 1.0484,                 0.6248,                 1.0313,                0.94793,                0.86054,                 0.9461,                0.69626,                0.95556,                0.55967,                0.99836,              0.0093763,              0.0093763,              0.0093763
                     66,                 1.0084,                0.59859,                 1.0078,                0.95309,                0.88776,                0.95138,                 0.7032,                 0.9595,                0.55133,                  1.003,              0.0093664,              0.0093664,              0.0093664
                     67,                 1.0351,                0.61612,                 1.0129,                 0.9471,                0.88435,                0.95832,                0.68895,                0.97627,                0.55467,                 1.0089,              0.0093565,              0.0093565,              0.0093565
                     68,                  1.009,                0.59254,                 1.0103,                0.94564,                0.88752,                0.95058,                0.69812,                0.95349,                0.54093,                0.99742,              0.0093466,              0.0093466,              0.0093466
                     69,                 1.0091,                0.60153,                 1.0157,                0.91552,                0.92153,                0.95176,                0.70502,                0.94677,                0.53949,                0.99395,              0.0093367,              0.0093367,              0.0093367
                     70,                 1.0324,                0.60192,                 1.0214,                0.92169,                0.92078,                0.95855,                0.70297,                0.93933,                0.53155,                0.99306,              0.0093268,              0.0093268,              0.0093268
                     71,                 1.0212,                 0.6049,                  1.021,                0.93414,                0.89796,                0.95884,                 0.7111,                 0.9289,                0.53869,                0.99816,              0.0093169,              0.0093169,              0.0093169
                     72,                 1.0112,                0.58357,                 1.0134,                0.95279,                0.89239,                0.95415,                0.70857,                0.95078,                0.53427,                0.99607,               0.009307,               0.009307,               0.009307
                     73,                 1.0092,                0.59238,                 1.0115,                 0.9581,                0.87755,                0.95049,                0.70256,                0.95812,                0.53048,                0.99943,              0.0092971,              0.0092971,              0.0092971
                     74,                 1.0046,                 0.5801,                 1.0095,                0.91656,                0.87415,                0.95035,                0.69721,                 0.9389,                0.55003,                 0.9985,              0.0092872,              0.0092872,              0.0092872
