                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                0.90496,                0.57611,                 1.0177,                0.97255,                0.94604,                0.98474,                 0.7828,                0.78482,                0.45798,                0.93999,               0.001802,               0.001802,               0.001802
                    103,                0.88698,                0.53839,                  1.005,                0.96465,                0.94719,                0.97732,                0.78854,                0.76652,                 0.4545,                0.93318,                 0.0018,                 0.0018,                 0.0018
                    104,                0.89228,                0.53795,                0.99885,                0.96717,                0.94395,                 0.9779,                0.78227,                0.76105,                0.48106,                0.93117,               0.001798,               0.001798,               0.001798
                    105,                0.90493,                0.56873,                0.99911,                0.97999,                0.94526,                0.98479,                0.78464,                0.75108,                0.47004,                0.92114,              0.0017961,              0.0017961,              0.0017961
                    106,                0.89514,                0.54272,                0.98625,                0.96729,                0.95594,                0.98543,                0.79607,                0.72832,                0.44931,                0.91802,              0.0017941,              0.0017941,              0.0017941
                    107,                 0.8537,                0.52483,                0.97476,                0.97598,                0.95327,                 0.9859,                0.79149,                0.74822,                0.43643,                0.92463,              0.0017921,              0.0017921,              0.0017921
                    108,                0.88383,                0.55626,                0.99703,                0.96731,                0.96395,                 0.9843,                0.79407,                0.73154,                0.44232,                0.91148,              0.0017901,              0.0017901,              0.0017901
                    109,                0.87055,                0.53785,                0.98329,                0.98337,                0.94759,                0.98723,                0.80061,                0.70188,                0.42947,                0.90881,              0.0017881,              0.0017881,              0.0017881
                    110,                0.88477,                0.54914,                0.99664,                0.97288,                0.95776,                0.98544,                0.80699,                0.68958,                0.42227,                0.90516,              0.0017862,              0.0017862,              0.0017862
                    111,                0.86978,                0.53367,                0.98811,                 0.9703,                0.95461,                0.98692,                0.79612,                0.72118,                0.44095,                0.91748,              0.0017842,              0.0017842,              0.0017842
                    112,                0.86646,                0.54513,                0.99584,                0.96353,                0.95235,                 0.9856,                0.79219,                0.73741,                0.46002,                0.91989,              0.0017822,              0.0017822,              0.0017822
                    113,                0.89186,                0.54426,                0.98563,                0.96639,                0.95973,                0.98913,                0.80657,                0.70238,                0.43425,                0.90953,              0.0017802,              0.0017802,              0.0017802
                    114,                0.84492,                0.53376,                0.99986,                0.98354,                0.95995,                0.99056,                0.81008,                0.68591,                 0.4229,                0.90782,              0.0017782,              0.0017782,              0.0017782
                    115,                0.82077,                0.51962,                0.95787,                0.97448,                0.96858,                0.98782,                0.80567,                0.69952,                0.41268,                 0.9072,              0.0017763,              0.0017763,              0.0017763
                    116,                0.88243,                0.52829,                 1.0021,                0.96122,                0.95728,                0.98185,                0.79812,                0.70193,                0.42954,                0.91101,              0.0017743,              0.0017743,              0.0017743
                    117,                0.85656,                0.53778,                0.96494,                0.97542,                0.95327,                 0.9869,                0.79394,                 0.7096,                0.43726,                0.91408,              0.0017723,              0.0017723,              0.0017723
                    118,                0.89008,                0.53557,                0.98766,                0.96533,                0.96395,                0.98911,                0.79781,                0.72331,                0.43765,                0.91439,              0.0017703,              0.0017703,              0.0017703
                    119,                0.88231,                0.53832,                0.96639,                0.97707,                0.95861,                0.98836,                0.80213,                0.71603,                0.43992,                0.91705,              0.0017683,              0.0017683,              0.0017683
                    120,                0.87233,                0.50971,                0.98382,                0.97678,                 0.9506,                0.98814,                0.81312,                0.69106,                0.42511,                0.90348,              0.0017664,              0.0017664,              0.0017664
                    121,                0.86816,                0.52922,                 0.9742,                0.96698,                0.96262,                0.98987,                0.80692,                0.71312,                0.41888,                 0.9072,              0.0017644,              0.0017644,              0.0017644
                    122,                0.84801,                0.52234,                0.97804,                0.97417,                0.96662,                0.99037,                 0.8176,                0.68982,                0.41242,                0.90275,              0.0017624,              0.0017624,              0.0017624
                    123,                0.85447,                0.52423,                0.98319,                 0.9839,                0.97063,                0.99195,                0.81194,                0.69265,                0.41465,                 0.9007,              0.0017604,              0.0017604,              0.0017604
                    124,                0.83231,                0.51618,                0.97739,                0.98715,                0.95995,                0.99002,                0.80262,                0.69951,                0.43299,                0.90493,              0.0017584,              0.0017584,              0.0017584
                    125,                0.83923,                0.52643,                0.97414,                  0.968,                0.96914,                 0.9915,                0.79924,                0.71227,                0.43439,                0.91215,              0.0017565,              0.0017565,              0.0017565
                    126,                0.85325,                0.52775,                 0.9793,                0.96913,                0.95861,                0.98852,                0.80243,                0.71959,                0.43684,                0.90807,              0.0017545,              0.0017545,              0.0017545
                    127,                0.91509,                0.55558,                0.99601,                0.96673,                0.96662,                0.98945,                0.80628,                0.71491,                0.42413,                0.90385,              0.0017525,              0.0017525,              0.0017525
                    128,                0.85772,                0.51466,                0.97492,                0.97703,                0.96531,                0.98921,                0.81102,                0.71911,                 0.4226,                 0.9077,              0.0017505,              0.0017505,              0.0017505
                    129,                0.82473,                 0.5101,                0.97871,                0.97029,                0.94793,                0.98491,                0.80588,                 0.6913,                0.41521,                0.90618,              0.0017485,              0.0017485,              0.0017485
                    130,                0.84303,                0.52339,                0.96531,                0.98358,                0.95972,                0.99159,                0.81739,                 0.6869,                0.41419,                0.89833,              0.0017466,              0.0017466,              0.0017466
                    131,                0.81862,                0.50988,                0.97693,                0.97952,                0.95594,                 0.9891,                0.81566,                0.68214,                0.41842,                0.90113,              0.0017446,              0.0017446,              0.0017446
                    132,                0.84405,                0.52302,                0.99027,                0.97312,                0.96682,                0.98586,                0.80416,                0.70094,                0.42467,                0.91008,              0.0017426,              0.0017426,              0.0017426
                    133,                0.83057,                0.51034,                0.96767,                0.96311,                0.95461,                0.98492,                0.80376,                0.71266,                0.42539,                0.91283,              0.0017406,              0.0017406,              0.0017406
